Date,Open,High,Low,Close,Volume
1998-07-22,21.757832889843808,22.414390882427803,21.757832889843808,22.25684356689453,56336
1998-07-23,22.502063520319634,22.677076032828854,21.276283264160156,21.276283264160156,95571
1998-07-24,21.013592434334093,21.45129721385241,20.628288625786737,21.18860626220703,154423
1998-07-27,21.18860628819651,21.36396185031816,20.488210556173723,20.57588768005371,62875
1998-07-28,20.40087854059749,21.17114328726778,19.927897498994685,20.0854434967041,116194
1998-07-29,20.10290674715376,21.013592460108907,19.787813509789263,20.57588768005371,95068
1998-07-30,20.663224642860325,21.27628503170558,20.663224642860325,20.961193084716797,51306
1998-07-31,21.27628503170558,21.27628503170558,19.350110202735635,20.961193084716797,145369
1998-08-03,19.087420910246983,19.218595540741127,18.99974245761621,19.19256591796875,74948
1998-08-04,18.91240630595257,19.612803439598657,18.91240630595257,19.262434005737305,68912
1998-08-05,18.649713354904506,19.350109100341797,18.51819700938479,19.350109100341797,68409
1998-08-06,19.90152226454114,20.12037400506373,18.912404612996994,18.955902099609375,112673
1998-08-07,19.393948629062297,19.49018882259381,18.955902099609375,18.955902099609375,106637
1998-08-10,19.2624321824494,19.2624321824494,18.42195701599121,18.42195701599121,78972
1998-08-11,18.38702410410796,18.38702410410796,16.89855403519161,16.985889434814453,131787
1998-08-12,17.091028213500977,17.598943437118088,17.091028213500977,17.091028213500977,80481
1998-08-13,17.161243816947508,17.336257652393357,16.28549248598318,16.942049026489258,163477
1998-08-14,17.161242946235475,17.948974061256195,17.161242946235475,17.686283111572266,163980
1998-08-17,17.68628610391175,17.68628610391175,16.985890259477898,17.42393684387207,46779
1998-08-18,17.791428450403682,18.194198816053888,17.68628345878737,17.86163902282715,133296
1998-08-19,18.08049656386464,18.474362226948774,18.036657333374023,18.036657333374023,55330
1998-08-20,18.211668763062626,18.45689187913707,17.686285479006838,17.773963928222656,35210
1998-08-21,17.511270722389675,17.511270722389675,16.460505523041984,16.810874938964844,100098
1998-08-24,16.8108780242547,17.16124750448065,16.63586546556465,16.854717254638672,50803
1998-08-25,17.336256772801622,17.686283111572266,17.161242946235475,17.686283111572266,55833
1998-08-26,17.511266620629765,17.511266620629765,16.635858515686465,17.117401123046875,120218
1998-08-27,16.63585855652615,16.84580545580919,15.760106086730955,15.760106086730957,100601
1998-08-28,15.585092286363883,15.935461621077943,14.665844967094413,15.760106086730957,96074
1998-08-31,15.760110579168964,15.760110579168964,14.79702377319336,14.79702377319336,157944
1998-09-01,14.622008329042664,15.62002944946289,14.35931737243751,15.62002944946289,287217
1998-09-02,15.935466237810795,16.285493939952982,15.322405815124512,15.322405815124512,121727
1998-09-03,15.410085522778894,15.541260159679581,14.359320176784195,14.622011184692383,100098
1998-09-04,14.70968964160535,15.164861070814768,14.622011184692383,14.622011184692383,144866
1998-09-07,15.41008666923207,15.41008666923207,14.840864068249216,15.059717178344727,56336
