Date,Open,High,Low,Close,Volume
1980-03-17,1.8132838010787964,1.842768103342396,1.8132838010787964,1.8132838010787964,41109
1980-03-18,1.8206546306610107,1.8501390613600899,1.8206546306610107,1.8206546306610107,9343
1980-03-19,1.8206546306610107,1.8206546306610107,1.8206546306610107,1.8206546306610107,0
1980-03-20,1.8206546306610107,1.8501390613600899,1.8206546306610107,1.8206546306610107,10277
1980-03-21,1.864880919456482,1.8943652141902552,1.864880919456482,1.864880919456482,8409
1980-03-24,1.8722522258758547,1.9017366566644731,1.8722522258758547,1.8722522258758545,2803
1980-03-25,1.8722523598551135,1.8869946419820955,1.857510209083557,1.8575102090835571,27095
1980-03-26,1.857510209083557,1.8869946419820955,1.857510209083557,1.8575102090835571,1869
1980-03-27,1.857510056683351,1.8648811971420733,1.8353967666625977,1.8353967666625977,14015
1980-03-28,1.835396707527624,1.8575099968359052,1.8280256986618042,1.8280256986618042,36438
1980-03-31,1.8280256986618042,1.8575099968359052,1.8280256986618042,1.8280256986618042,1869
1980-04-01,1.8280258587705538,1.8280258587705538,1.7985414266586304,1.7985414266586304,2803
1980-04-02,1.7985414411541096,1.813283723006599,1.7837992906570437,1.7837992906570435,6540
1980-04-03,1.7837992906570437,1.7837992906570437,1.7837992906570437,1.7837992906570435,0
1980-04-07,1.7837992906570437,1.813283723006599,1.7837992906570437,1.7837992906570435,934
1980-04-08,1.7837992906570437,1.813283723006599,1.7837992906570437,1.7837992906570435,44846
1980-04-09,1.842768430709839,1.8722527382113199,1.842768430709839,1.8427684307098389,42044
1980-04-10,1.864880919456482,1.8943652141902552,1.864880919456482,1.864880919456482,35503
1980-04-11,1.864881350147048,1.8869946419820955,1.857510209083557,1.8575102090835571,59795
1980-04-14,1.857510209083557,1.857510209083557,1.857510209083557,1.8575102090835571,0
1980-04-15,1.916478395462036,1.945962688573405,1.916478395462036,1.9164783954620361,1869
1980-04-16,1.916478395462036,1.945962688573405,1.916478395462036,1.9164783954620361,61664
1980-04-17,1.916478395462036,1.916478395462036,1.916478395462036,1.9164783954620361,0
1980-04-18,1.9164790222597237,1.9164790222597237,1.8869947195053103,1.88699471950531,1869
1980-04-21,1.8869947195053103,1.9164790222597237,1.8869947195053103,1.88699471950531,5606
1980-04-22,1.8869947195053103,1.8869947195053103,1.8869947195053103,1.88699471950531,0
1980-04-23,1.9238495826721191,1.953334009891532,1.9238495826721191,1.9238495826721191,24292
1980-04-24,1.9385912418365479,1.9680755282690294,1.9385912418365479,1.9385912418365479,934
1980-04-25,1.9533342123031616,1.982818511222445,1.9533342123031616,1.9533342123031616,9343
1980-04-28,1.9754474163055422,2.0049317139432614,1.9754474163055422,1.975447416305542,2803
1980-04-29,2.0049314498901367,2.0344157436447206,2.0049314498901367,2.0049314498901367,74744
1980-04-30,2.012302875518799,2.0417866480497278,2.012302875518799,2.012302875518799,3737
1980-05-01,2.0196738243103027,2.0491575959650583,2.0196738243103027,2.0196738243103027,934
1980-05-02,2.0196738243103027,2.0196738243103027,2.0196738243103027,2.0196738243103027,0
1980-05-05,2.0344154834747314,2.063899379392612,2.0344154834747314,2.0344154834747314,14015
1980-05-06,2.078641891479492,2.108126186670517,2.078641891479492,2.078641891479492,5606
1980-05-07,2.078641891479492,2.078641891479492,2.078641891479492,2.078641891479492,0
1980-05-08,2.0860135555267334,2.1154979913442573,2.0860135555267334,2.0860135555267334,7474
1980-05-09,2.0933847427368164,2.122869047838576,2.0933847427368164,2.0933847427368164,15883
1980-05-12,2.137610673904419,2.1670951030997214,2.137610673904419,2.137610673904419,41109
1980-05-13,2.137610673904419,2.1670951030997214,2.137610673904419,2.137610673904419,1869
